id,structure_dc809,structure_17387,structure_1b96b,structure_313c0,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
ae6ca,gpt-4-o,original,original,original,2.115530005041042,-2.7621257826462697,-0.21497515440857834,1.6718285754323006,52907508.37263717,98.57424704292245,False,True,True
123e9,gemini-v15-pro,gpt-4-o,gpt-4-o,original,31.35676824825522,56.856396172217806,0.2772586714208052,1.1723996294662355,22212664.085717075,98.09007211122758,False,False,False
b45e5,gemini-v15-pro,gpt-4-o,original,gpt-4-o,43.8024044364955,49.69135745216443,0.43683140803162074,0.9598330168053508,25901614.10679099,97.93311191305607,False,False,False
5cb12,llama-3-70b,gemini-v15-flash,llama-3-70b,gemini-v15-pro,19.506326141739507,19.176252609397036,0.02169705648154058,1.3748005593195558,41612442.90353488,98.34144964963336,False,False,False
cc21e,llama-3-70b,gpt-4-o,original,gpt-4-o,43.74519697925631,50.26434337845871,0.32474922662071515,0.9608100978657603,25606609.916658353,98.04335907544358,False,False,False
5da1f,gpt-4-o,gpt-4-o,original,gemini-v15-pro,34.86040697313652,54.801357309805766,0.21409146378126936,1.1125588463619351,23270709.40145071,98.15220513996184,False,False,False
1e7f1,gemini-v15-pro,gpt-4-o,gpt-4-o,gemini-v15-flash,43.51854574239205,51.13305420970252,0.7242099579728676,0.9646812126040458,25159350.527779557,97.65043834921894,False,False,False
c2606,gemini-v15-pro,gpt-4-o,llama-3-70b,gemini-v15-flash,43.714838790783624,51.494564137759,1.0145638344089116,0.9613286038860679,24973225.635950297,97.3648381711859,False,False,False
dd3c1,gpt-4-o,gpt-4-o,original,gpt-4-o,43.57158802059414,49.53598835783558,0.6339229217027769,0.9637752711772919,25981606.531981178,97.73924719843882,False,False,False
bee7e,gemini-v15-flash,gpt-4-o,gpt-4-o,gpt-4-o,43.82682336678565,49.69936667228867,0.8171788782431965,0.959415950998664,25897490.526458703,97.55899152403218,False,False,False
fed77,original,gpt-4-o,original,gemini-v15-pro,34.35487956812283,55.47701774619,0.4393725452094204,1.1211930572986604,22922842.81224966,97.93061237959265,False,False,False
551fd,original,gpt-4-o,original,gemini-v15-flash,44.554358768870905,50.61041362542367,0.5899220631691496,0.9469899300485849,25428434.208931692,97.78252767116768,False,False,False
c04c4,original,gpt-4-o,gemini-v15-flash,gemini-v15-flash,44.39599521089169,50.75194178149038,0.8726966400174069,0.949694717861712,25355567.848441046,97.50438270378382,False,False,False
aeebd,gemini-v15-pro,gpt-4-o,gemini-v15-flash,gemini-v15-flash,43.653683580761665,50.997879803691035,0.6995663814451396,0.962373111024499,25228945.633596517,97.67467845901214,False,False,False
8d4ed,llama-3-70b,gpt-4-o,gemini-v15-flash,original,31.324236342522536,56.45950870484178,0.15207334222794466,1.1729552617296577,22417003.25098119,98.21320789554518,False,False,False
