id,structure_68947,structure_26183,structure_c825f,structure_272c0,structure_ca406,structure_8722a,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
89055,claude-v3-sonnet,claude-v3-haiku_1,claude-v3-sonnet,original,gpt-4_2,original,-2.9671527103359527,-0.25823700448201914,-1.6062501309093018,70.6046650506556,272287999.6568204,13.55491137170372,True,True,True
d4a28,gpt-4-turbo,original,original,original,gpt-4_2,claude-v3-sonnet,-6.200506922672886,-0.8217552539915891,1.6774566314369743,72.82177881114185,273818440.06265175,13.116844283538171,True,True,False
f2f72,original,claude-v3-sonnet_3,claude-v3-sonnet_1,claude-v3-sonnet,gpt-4_1,original,-0.6829014305394004,-0.7571500194486327,-5.056360676752002,69.03835198618472,273642980.8624239,14.015177768812412,True,True,True
79638,gpt-4-turbo,gpt-4-turbo_1,claude-v3-sonnet_1,original,original,original,-4.367982275928259,-1.0487716803278648,-0.5661135739652153,71.56521508693694,274434986.3980275,13.416150627894348,True,True,True
5a4a4,original,claude-v3-haiku_1,original,original,gpt-4_1,claude-v3-sonnet,-10.649518173785127,-0.643950981077363,9.45507781676218,75.87246964722871,273335547.3722478,12.079260810927588,True,True,False
c9c8b,gpt-4,original,original,claude-v3-sonnet,gpt-4_1,original,-0.5834638213978843,-0.15621434901643247,-0.6162104519762558,68.97016753219069,272010919.7319544,13.422833865791267,True,True,True
fbd7c,gpt-4-turbo,claude-v3-sonnet_3,claude-v3-sonnet_1,claude-v3-haiku_1,claude-v3-haiku,claude-v3-sonnet,-4.836519663782882,-0.7026597934022386,0.5465190025448217,71.88649157620966,273494992.67617285,13.267718460144502,True,True,False
699a6,claude-v3-sonnet,original,claude-v3-sonnet,original,gpt-4_1,gpt-4-turbo,6.020999463305509,-0.4150886917661441,-12.405489105029863,64.44148138538003,272713987.91922605,14.995597618735312,False,True,True
d03ee,claude-v3-sonnet,gpt-4-turbo_1,claude-v3-sonnet_1,original,gpt-4_1,original,3.0183932155832283,-1.1225535156990547,-8.62612845689147,66.50037106834353,274635368.0221661,14.491407191854904,False,True,True
95814,original,claude-v3-sonnet_3,original,claude-v3-haiku_1,original,gpt-4-turbo,0.7019996036215097,-1.2301257353631105,-7.723462127864385,68.0887241575867,274927519.8232162,14.370985839109192,False,True,True
6b503,original,original,original,original,gpt-4_1,claude-v3-sonnet,-0.5656995173416847,-0.5587470259775636,-4.0395103690882905,68.95798653364182,273104144.7943635,13.87952355678399,True,True,True
60297,original,gpt-4_2,claude-v3-sonnet,original,original,claude-v3-sonnet,0.4180744600593937,-0.04111812370181144,-6.418865830430225,68.28341187238694,271698333.73507947,14.196944506368448,False,True,True
d1261,gpt-4-turbo,claude-v3-sonnet_3,claude-v3-sonnet,claude-v3-sonnet,claude-v3-haiku,gpt-4-turbo,-5.533143921454276,-1.2256144111023384,1.0981829907223466,72.36416742801666,274915267.66822654,13.194123022294246,True,True,False
fbc90,claude-v3-sonnet,original,original,original,gpt-4-turbo,original,3.3808592531617117,-0.7395755113988368,-8.456050152317156,66.25182779505849,273595250.84257907,14.468717678741447,False,True,True
92ba9,gpt-4,gpt-4-turbo,original,claude-v3-sonnet,claude-v3-haiku,original,-10.476373689166762,-0.5721135972139372,5.175559509853132,75.7537443254143,273140446.61906105,12.650175408100475,True,True,False
330bc,claude-v3-sonnet,original,claude-v3-sonnet_1,original,gpt-4-turbo,gpt-4-turbo,4.978279110249481,-0.7098022278891499,-11.38923163928532,65.1564756270498,273514390.5756096,14.860022495539136,False,True,True
8ecee,original,original,claude-v3-sonnet,claude-v3-haiku_1,gpt-4_1,original,0.6199024738166037,-0.5577851275998292,-6.683678662607906,68.1450182300061,273101532.4066638,14.232272199946683,False,True,True
