id,structure_a17d2,structure_b7b02,structure_92ae6,structure_2b2e8,structure_ffa98,structure_e1550,structure_8d8ac,structure_6a647,structure_1899b,structure_5d807,structure_78f0f,structure_8a9d8,structure_0eee6,structure_b91ec,structure_75a22,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
f3957,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,gpt-4-turbo,gemini-v15-pro,claude-v3-sonnet_1,gpt-4-turbo_1,original,original,original,gpt-4-turbo,claude-v3-sonnet,claude-v3-sonnet,claude-v3-sonnet_1,11.547024506561158,1.904348080501723,0.04485009149621987,32.63385362736881,30518551.896031376,99.37533081536579,False,False,False
d79b3,mistral-large,claude-v3-sonnet_1,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,claude-v3-sonnet_1,original,original,original,original,original,original,gemini-v15-pro,claude-v3-sonnet_1,11.260586115302281,2.0421294327539052,0.12171268525652887,32.73953224904835,30475686.720391743,99.29891408556998,False,False,False
85f9c,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,gpt-4-turbo,gemini-v15-pro,gpt-4-turbo,original,original,original,original,gpt-4-turbo,original,claude-v3-sonnet,original,11.038882352007517,1.3934286203320567,0.15610324581096338,32.82132766768336,30677504.120261215,99.26472301752445,False,False,False
6354a,mistral-large,gpt-4-turbo,original,gpt-4-turbo,mistral-large,original,claude-v3-sonnet_1,gemini-v15-pro,original,original,gemini-v15-pro,gpt-4-turbo,original,gemini-v15-pro,claude-v3-sonnet_1,12.075032762935335,1.9943113880985293,0.15775689140257756,32.4390501845628,30490563.398907315,99.26307896438793,False,False,False
e24e5,mistral-large,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,original,claude-v3-sonnet_1,original,original,original,original,original,claude-v3-sonnet,gemini-v15-pro,original,11.223300532006979,1.7071400591639423,0.10224200754758665,32.753288397565484,30579905.310945727,99.3182718179159,False,False,False
d7871,mistral-large,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,original,gpt-4-turbo,gemini-v15-pro,original,original,gemini-v15-pro,original,original,gemini-v15-pro,claude-v3-sonnet_1,10.731215261888007,2.245236722386623,0.16427616211203952,32.934838408604264,30412497.983298633,99.2565975106157,False,False,False
6bfa3,mistral-large,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,gpt-4-turbo,original,original,original,gemini-v15-pro,original,original,claude-v3-sonnet,claude-v3-sonnet_1,11.982741816847252,2.4717250696775577,0.1385494045097766,32.47310001961887,30342035.1621094,99.28217503263305,False,False,False
2e9ea,original,gpt-4-turbo,original,gpt-4-turbo,mistral-large,gemini-v15-pro,claude-v3-sonnet_1,original,original,original,gemini-v15-pro,gpt-4-turbo,original,gemini-v15-pro,claude-v3-sonnet_1,11.802666722433784,2.3202556447331326,0.18788370092640283,32.53953695110977,30389158.835945852,99.23312691423762,False,False,False
0e071,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,claude-v3-sonnet,original,gemini-v15-pro,original,original,original,claude-v3-sonnet,claude-v3-sonnet,original,11.877135669255626,1.9996129363872683,0.1963484833812348,32.51206236705184,30488914.03348272,99.22471123423014,False,False,False
4f0e9,mistral-large,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,claude-v3-sonnet_1,gpt-4-turbo_1,original,original,gemini-v15-pro,gpt-4-turbo,original,gemini-v15-pro,original,11.806342191308067,1.4308557399682256,0.18372403303362628,32.538180923089385,30665860.163871866,99.2372624527597,False,False,False
f2c4b,mistral-large,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,original,original,original,original,original,original,original,original,claude-v3-sonnet,original,11.894589415834881,1.3794034355011102,0.14563390224637757,32.50562297925353,30681867.497462336,99.27513163059844,False,False,False
022e5,mistral-large,gpt-4-turbo,original,gpt-4-turbo,mistral-large,original,gpt-4-turbo,original,original,original,original,original,original,original,original,11.780290508598984,1.987143223756015,0.15139360743801272,32.54779243469238,30492793.48751171,99.26940533626201,False,False,False
b9ee4,gpt-4-turbo,claude-v3-sonnet_1,gpt-4-turbo_1,gpt-4-turbo,original,gemini-v15-pro,claude-v3-sonnet_1,original,gemini-v15-pro,original,original,gpt-4-turbo,original,claude-v3-sonnet,original,11.305264080613535,2.0994494150618066,0.132876865838505,32.72304875403643,30457853.892733093,99.28781466608402,False,False,False
871cb,mistral-large,gpt-4-turbo,original,gpt-4-turbo,mistral-large,gemini-v15-pro,claude-v3-sonnet_1,gemini-v15-pro,original,original,gemini-v15-pro,gpt-4-turbo,original,gemini-v15-pro,claude-v3-sonnet_1,11.921776294841992,1.216136485369899,0.11481211162397562,32.49559264816344,30732661.50099855,99.30577463040612,False,False,False
fb3de,original,gpt-4-turbo,claude-v3-sonnet,gpt-4-turbo,mistral-large,gemini-v15-pro,claude-v3-sonnet,gemini-v15-pro,original,original,original,gpt-4-turbo,claude-v3-sonnet,gemini-v15-pro,claude-v3-sonnet_1,11.593217462043349,0.9608300992948751,0.14681266396479037,32.616811191663146,30812089.906237274,99.27395970663227,False,False,False
e5a75,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,original,gpt-4-turbo_1,original,original,original,original,original,claude-v3-sonnet,original,10.550967978635034,2.277986175511964,0.12162469078478044,33.00133886747062,30402309.296387285,99.29900156960404,False,False,False
fbffa,original,gpt-4-turbo,original,gpt-4-turbo,mistral-large,original,gpt-4-turbo,gemini-v15-pro,original,original,gemini-v15-pro,gpt-4-turbo,original,gemini-v15-pro,original,11.766009941923084,1.7917733419865804,0.07485905005060874,32.55306110903621,30553575.0385696,99.34549593255588,False,False,False
e939a,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,gpt-4-turbo,gpt-4-turbo_1,original,original,original,original,original,claude-v3-sonnet,original,11.702357317809541,2.0879837828215417,0.20864586226901152,32.57654511742294,30461420.967172157,99.21248518988672,False,False,False
cd04c,mistral-large,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,original,gpt-4-turbo,gemini-v15-pro,original,original,original,gpt-4-turbo,original,claude-v3-sonnet,original,11.868893031008287,1.3446624901958444,0.20568281972974756,32.51510340720415,30692675.757782437,99.21543104443077,False,False,False
42601,mistral-large,gpt-4-turbo,original,gpt-4-turbo,original,original,claude-v3-sonnet,gemini-v15-pro,original,original,gemini-v15-pro,gpt-4-turbo,original,claude-v3-sonnet,claude-v3-sonnet_1,10.778575568442132,2.1342431545418474,0.14183795126152388,32.91736529022455,30447029.207609944,99.27890556205894,False,False,False
c16c8,gpt-4-turbo,claude-v3-sonnet_1,claude-v3-sonnet,gpt-4-turbo,original,gemini-v15-pro,gpt-4-turbo,gemini-v15-pro,gemini-v15-pro,original,original,gpt-4-turbo,original,gemini-v15-pro,claude-v3-sonnet_1,11.273853162898853,2.113711445383696,0.1067780798565741,32.73463750258088,30453416.830498382,99.31376205842156,False,False,False
71021,original,original,claude-v3-sonnet,gpt-4-turbo,original,original,claude-v3-sonnet_1,original,original,original,gemini-v15-pro,original,claude-v3-sonnet,claude-v3-sonnet,original,11.52825775571054,2.5439111850680156,0.09686799721463178,32.64077743515372,30319577.329722248,99.32361465472952,False,False,False
96973,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,gemini-v15-pro,claude-v3-sonnet_1,original,original,original,gemini-v15-pro,gpt-4-turbo,original,claude-v3-sonnet,claude-v3-sonnet_1,11.177268809820351,2.36615139574613,0.18470678989622807,32.77027134783566,30374880.202472404,99.23628539666582,False,False,False
5280a,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,gpt-4-turbo,gemini-v15-pro,claude-v3-sonnet_1,original,original,original,gemini-v15-pro,gpt-4-turbo,original,claude-v3-sonnet,claude-v3-sonnet_1,10.415595310182777,2.0377772117985034,0.2116876823261138,33.05128327943385,30477040.740457784,99.20946101479687,False,False,False
82138,mistral-large,claude-v3-sonnet_1,original,gpt-4-turbo,original,original,claude-v3-sonnet_1,original,original,original,original,gpt-4-turbo,claude-v3-sonnet,claude-v3-sonnet,claude-v3-sonnet_1,10.656584632441843,2.124092794887408,0.09509810545822471,32.962372643873096,30450187.087412115,99.32537427971094,False,False,False
cb363,gpt-4-turbo,gpt-4-turbo,claude-v3-sonnet,gpt-4-turbo,original,gemini-v15-pro,gpt-4-turbo,gemini-v15-pro,original,original,gemini-v15-pro,gpt-4-turbo,original,claude-v3-sonnet,original,11.469913703522657,1.9819894534587166,0.19350220663904455,32.66230289824307,30494396.87770486,99.22754100031129,False,False,False
1484c,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,original,gpt-4-turbo,original,original,original,original,original,original,gemini-v15-pro,claude-v3-sonnet_1,11.76797998601005,1.9405495367442551,0.13442592577858184,32.55233428068459,30507289.25595069,99.28627459191937,False,False,False
754e8,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,gpt-4-turbo,original,original,original,gemini-v15-pro,gpt-4-turbo,original,gemini-v15-pro,original,11.503853458649063,2.25396358757814,0.12441796188599802,32.64978116005659,30409782.967056572,99.29622450168914,False,False,False
69dfd,mistral-large,gpt-4-turbo,original,gpt-4-turbo,original,original,claude-v3-sonnet_1,gemini-v15-pro,gemini-v15-pro,original,gemini-v15-pro,original,original,claude-v3-sonnet,original,11.436915327490603,2.0973619521840012,0.13833936164392444,32.67447732388973,30458503.323598996,99.2823838570838,False,False,False
b1836,gpt-4-turbo,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,gemini-v15-pro,claude-v3-sonnet_1,original,original,original,original,gpt-4-turbo,original,claude-v3-sonnet,original,11.730383547990474,2.013213422093041,0.17696139853678702,32.56620511598885,30484682.78448543,99.24398585861644,False,False,False
cbc4f,gpt-4-turbo,original,original,gpt-4-turbo,original,gemini-v15-pro,gpt-4-turbo,gpt-4-turbo_1,original,original,gemini-v15-pro,gpt-4-turbo,original,claude-v3-sonnet,original,11.493369836120632,1.8884144688987157,0.10544510700232607,32.6536489892751,30523509.00415067,99.31508729897675,False,False,False
4e7c5,mistral-large,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,original,claude-v3-sonnet_1,original,original,original,gemini-v15-pro,original,original,gemini-v15-pro,original,11.70829837297673,1.6412092613948244,0.20193100765396169,32.57435322366655,30600417.050598722,99.21916109302286,False,False,False
e8c2d,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,gemini-v15-pro,gpt-4-turbo,gemini-v15-pro,original,original,original,original,original,gemini-v15-pro,original,11.692801342080749,1.5637746469211165,0.1576991782527378,32.580070700496435,30624507.74426478,99.26313634275576,False,False,False
5d745,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,gemini-v15-pro,claude-v3-sonnet_1,original,original,original,original,gpt-4-turbo,original,claude-v3-sonnet,original,11.547125368246364,2.702380461221331,0.1372016679243456,32.63381641544402,30270275.931203786,99.28351495127808,False,False,False
18e23,mistral-large,original,gpt-4-turbo_1,gpt-4-turbo,original,gemini-v15-pro,gpt-4-turbo,original,original,original,original,gpt-4-turbo,original,gemini-v15-pro,claude-v3-sonnet_1,10.769201323478216,1.907682684320106,0.15232866620050103,32.92082382552326,30517514.4669742,99.26847570158147,False,False,False
b3c9f,original,claude-v3-sonnet_1,claude-v3-sonnet,gpt-4-turbo,mistral-large,gemini-v15-pro,gpt-4-turbo,original,original,claude-v3-sonnet,gemini-v15-pro,gpt-4-turbo,original,claude-v3-sonnet,claude-v3-sonnet_1,9.687294962104234,1.8514365090508929,0.11078739406533941,33.31998251564801,30535013.22237587,99.30977600141296,False,False,False
732ed,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,mistral-large,original,claude-v3-sonnet_1,original,original,claude-v3-sonnet,original,original,original,claude-v3-sonnet,claude-v3-sonnet_1,11.82856361390909,2.333161963777541,0.12764758463248232,32.529982548207045,30385143.549235012,99.29301361331436,False,False,False
49bed,mistral-large,original,original,gpt-4-turbo,original,original,gpt-4-turbo,gemini-v15-pro,original,original,original,original,original,gemini-v15-pro,original,11.361560965724001,2.3509400227949597,0.13096296420877684,32.702278573065996,30379612.614824392,99.28971746556735,False,False,False
bae5a,original,gpt-4-turbo,gpt-4-turbo_1,gpt-4-turbo,original,original,claude-v3-sonnet_1,original,original,original,original,original,claude-v3-sonnet,claude-v3-sonnet,claude-v3-sonnet_1,11.717781703856767,2.452170991042561,0.22209206927138653,32.570854442194104,30348118.63422997,99.19911698154232,False,False,False
feadd,original,gpt-4-turbo,claude-v3-sonnet,gpt-4-turbo,original,original,gpt-4-turbo,gemini-v15-pro,original,original,gemini-v15-pro,gpt-4-turbo,original,gemini-v15-pro,original,10.507936682064825,0.9662542256004591,0.20011407946008108,33.01721484027803,30810402.40554883,99.22096748159314,False,False,False
