id,structure_a32c7,structure_e101d,structure_c403e,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
8d567,original,original,gpt-4-o,-0.7312469504087098,1.1071519054966286,2.017731099157745,5.745333304256201,184465631.62741512,118.34900212395988,True,False,False
d3b6b,gpt-4-o,gpt-4-o,gpt-4-o,-1.9656168284689044,1.9770669940540744,2.3016916203674183,5.815737142041326,182842971.95722723,118.00601716653075,True,False,False
4ef71,gpt-4-o,claude-v3-opus,original,6.869565698372404,3.2102152005166,-5.798765693034393,5.311811399459839,180542770.60618567,127.7902470128412,False,False,True
6555a,original,claude-v3-opus,original,11.57984480566105,5.608622161720276,-11.057764565595052,5.043154709041119,176069002.64902017,134.14238884136375,False,False,True
1393e,gpt-4-o,original,original,-2.5501113854328,0.6231535706455851,4.051794230401858,5.849074523895979,185368437.64691207,115.89213574864155,True,False,False
5d08a,original,gpt-4-o,gpt-4-o,-5.022359427475646,1.3035697508289967,5.426893762653733,5.990082298964262,184099251.82745722,114.23120607954165,True,False,False
f6abf,original,claude-v3-opus,gpt-4-o,11.442106553881606,4.648965136175129,-12.17493326230323,5.051010783389211,177859058.6821289,135.49177380603874,False,False,True
5cc5b,gpt-4-o,claude-v3-opus,gpt-4-o,12.01639633294576,4.905292035578174,-11.882013239509703,5.018255443871022,177380930.03771678,135.1379670123338,False,False,True
7409f,gpt-4-o,original,gpt-4-o,-0.5206240452010386,2.387978166001987,2.143494551821551,5.733320162072777,182076496.01547158,118.19709730185897,True,False,False
c8490,original,gpt-4-o,original,0.04111810797040961,-0.4125190467431673,-0.8560805766937903,5.701280492171645,187300286.18001598,121.82016836602156,False,True,True
2f2a1,original,original,original,0.0,0.0,0.0,5.703625715151429,186530811.05636397,120.78614166786512,False,False,False
0879b,gpt-4-o,gpt-4-o,original,0.06958532141190349,0.6708146676703542,1.2269836615696035,5.699656828865409,185279535.0160734,119.3041154441601,False,False,False
