id,structure_5fba4,structure_06fb2,structure_975e2,structure_52fce,structure_14320,structure_c80df,structure_6fedc,structure_bbdd3,structure_4bd55,structure_d00ba,structure_ea5c4,structure_74928,structure_9176d,structure_24ac5,structure_bcaba,structure_bfcaa,structure_dc0fa,structure_1a80e,structure_70b08,structure_793be,structure_5a2ea,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
23e4d,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,0.39803341182693036,-0.1982042770476145,2.0004733906097596,24.617011937499047,8333791.485077597,97.92264681629196,False,True,False
3ec72,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o_1,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,0.16549942254041788,-0.009460642642628048,-0.00028088337045999894,24.674483613874763,8318093.099017527,99.92183151560232,False,True,True
6091e,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,-0.08565022332775649,-0.15095599332151488,-0.0001586315095219489,24.736556221898645,8329861.700632435,99.92170935964693,True,True,True
e18c1,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,original,original,original,original,original,gpt-4-o,gpt-4-o,0.15577603611493268,-0.3686864013587205,2.0040447516070032,24.676886786501854,8347971.00542123,97.91907825699697,False,True,False
ed44d,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,0.07148308882135439,-0.14578474212003972,0.003837583461373435,24.697720115007833,8329431.591834169,99.9177162796726,False,True,False
ca1ac,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,original,original,0.348181940409875,-0.28840224084520816,0.0009025470015974833,24.629332921802998,8341293.525938422,99.9206490136213,False,True,False
bf600,original,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,0.3907676197833101,-0.3486676584774588,0.0012011581997159238,24.61880770615302,8346305.9852727195,99.92035063668112,False,True,False
ee6d6,original,gpt-4-o_2,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,0.27327579485384274,0.017229613203436585,0.0036594014774298084,24.647846265891566,8315873.188705667,99.9178943218743,False,False,False
60c71,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o_1,original,original,original,original,gpt-4-o,original,0.16152698713693459,-0.2983212387551599,0.005348091014926519,24.675465416675433,8342118.5193693815,99.91620695709935,False,True,False
c5164,original,gpt-4-o_2,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,original,original,original,original,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,0.05168150737712889,-0.284809402728394,-0.0006920620773109394,24.702614152580498,8340994.698589956,99.92224237174298,False,True,True
83a33,original,gpt-4-o_2,original,gpt-4-o,original,original,original,original,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,0.24050131077667475,-0.32068710265277495,0.0032520501375567605,24.655946606611835,8343978.756760373,99.91830135365052,False,True,False
ce6fe,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,0.1527386893863375,-0.49630064182928046,0.004406551820522511,24.677637478513642,8358585.07259221,99.91714775766428,False,True,False
