id,structure_613f3,structure_1da1a,structure_c7523,structure_aa9fb,structure_d0964,structure_e6340,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
e93be,original,llama-3-8b,gpt-4-turbo,original,original,claude-v3-opus,9.12299228339912,3.816151482262522,-15.49380118093602,4.773531976761296,171740913.16727886,150.416282805351,False,False,True
6ef7b,original,llama-3-8b,llama-3-8b,claude-v3-sonnet,gpt-4-turbo,claude-v3-sonnet,21.637392710826855,7.596570555157281,-32.44611086881272,4.116183191724121,164990792.08417192,172.4945535189523,False,False,True
a42f4,mistral-large,claude-v3-sonnet,mistral-large,original,gpt-4-turbo,claude-v3-opus,-2.7766776435237657,-1.193358578118416,-3.1854554368313446,5.398590573389083,180685635.64978418,134.3861963818306,True,True,True
e7e01,original,claude-v3-sonnet,original,claude-v3-sonnet,original,claude-v3-haiku,9.078296634695278,4.334256558921522,-14.122953175949572,4.77587972250767,170815811.49633032,148.6309241186267,False,False,True
3d92d,claude-v3-opus,mistral-large,gpt-3.5-turbo,claude-v3-sonnet,original,claude-v3-haiku,17.743378629905102,8.4888517114721,-27.029390631138945,4.320725585892797,163397580.92711157,165.43995045959872,False,False,True
b0905,mistral-large,mistral-large,llama-3-8b,claude-v3-sonnet,gpt-4-turbo,claude-v3-sonnet,9.699506070674493,3.4551295495929155,-15.714290405054616,4.7432492125313725,172385535.28778654,150.70344254164365,False,False,True
6e2d6,llama-3-70b,mistral-large,mistral-large,claude-v3-sonnet,gpt-4-turbo,claude-v3-haiku,17.84266465497908,6.2898895799259815,-24.645491452029468,4.315510350186377,167323934.15909263,162.335218868484,False,False,True
cf313,gpt-4-o,mistral-large,gpt-3.5-turbo,gpt-4-o,original,original,5.828073342479524,1.9002788961584696,-12.340494795988306,4.946605467190966,175161796.32510954,146.3094942147915,False,False,True
29f5d,claude-v3-opus,claude-v3-sonnet,mistral-large,original,gpt-4-turbo,claude-v3-sonnet,5.991273716057538,1.7070069343175232,-13.85265038378168,4.938032977608964,175506892.75998628,148.27888841788717,False,False,True
512b1,llama-3-70b,llama-3-8b,mistral-large,claude-v3-sonnet,original,claude-v3-opus,27.62654013287556,10.553102744500148,-43.34839339689208,3.801588912587613,159711760.87642646,186.69341783201043,False,False,True
faaf0,gpt-4-o,claude-v3-sonnet,gpt-3.5-turbo,original,gpt-4-turbo,claude-v3-sonnet,8.36493502649357,3.6984030190948207,-12.857856480453545,4.813350745523349,171951158.74281055,146.98329333342352,False,False,True
b78d3,original,llama-3-8b,original,original,gpt-4-turbo,claude-v3-opus,11.255908301781895,3.4143903694076014,-14.668809602506355,4.661495466390624,172458277.06423378,149.34183408772066,False,False,True
d25bb,original,mistral-large,original,original,gpt-4-turbo,claude-v3-sonnet,-1.6669578708073007,-2.334442849915134,-5.457185994154876,5.340299890702591,182723096.8021423,137.3448423219067,True,True,True
bfd7a,gpt-4-o,llama-3-8b,llama-3-8b,claude-v3-sonnet,original,claude-v3-sonnet,30.222243019779288,13.514708976078726,-48.665057721163286,3.665243416139856,154423669.72087854,193.61771053346757,False,False,True
717d6,original,original,mistral-large,original,gpt-4-turbo,claude-v3-haiku,-2.4540198812948026,-1.7348337010118862,-2.4874447965441755,5.381642203452065,181652465.66850546,133.4771245113317,True,True,True
78914,gpt-3.5-turbo,mistral-large,gpt-4-turbo,claude-v3-sonnet,gpt-4-turbo,claude-v3-sonnet,18.85516462750553,7.223741120331519,-28.808468164682495,4.262326369807124,165656497.0708133,167.7569772323075,False,False,True
31890,llama-3-70b,claude-v3-sonnet,llama-3-8b,original,gpt-4-turbo,claude-v3-opus,4.639753870291348,0.18601730103109718,-10.71290971220333,5.009024786902591,178222693.3082499,144.18976747838565,False,False,True
88ff6,original,mistral-large,mistral-large,claude-v3-sonnet,original,claude-v3-opus,11.333968271846649,5.1726120952586285,-13.30288255574586,4.657395179942251,169318887.14168853,147.562884335819,False,False,True
012ee,gpt-3.5-turbo,llama-3-8b,llama-3-8b,claude-v3-sonnet,original,claude-v3-opus,29.748389501640794,12.328662893757315,-48.35226916729553,3.690133704431355,156541412.3603695,193.21034242283503,False,False,True
0bf6a,claude-v3-opus,mistral-large,gpt-3.5-turbo,original,gpt-4-turbo,claude-v3-haiku,6.072534779441206,2.9823807955850006,-12.886048220655399,4.933764546085149,173229651.05112118,147.02000956168527,False,False,True
2d983,claude-v3-opus,mistral-large,original,claude-v3-sonnet,original,original,17.504818427068717,7.430961063474794,-26.081257544532104,4.333256530575454,165286495.84076962,164.20512527388385,False,False,True
90b49,llama-3-70b,mistral-large,mistral-large,original,gpt-4-turbo,claude-v3-sonnet,5.182487997643705,2.1646695386930324,-10.903974019192452,4.980516380025074,174689714.04641598,144.43860492715106,False,False,True
a2f8a,llama-3-70b,original,original,claude-v3-sonnet,gpt-4-turbo,claude-v3-haiku,14.239911755486633,6.588776972112493,-22.85108105143388,4.504753554845228,166790256.2655653,159.99822294727431,False,False,True
6e734,llama-3-70b,mistral-large,llama-3-8b,claude-v3-sonnet,gpt-4-turbo,claude-v3-haiku,17.425619942347694,6.637010699091589,-24.44059451007683,4.337416620226577,166704132.61336684,162.06836613654892,False,False,True
08b3c,gpt-3.5-turbo,claude-v3-sonnet,gpt-4-turbo,claude-v3-sonnet,gpt-4-turbo,claude-v3-opus,18.655721833464934,8.310740498913157,-27.05011590832536,4.2728025791235265,163715607.11094183,165.46694255027904,False,False,True
f4772,claude-v3-opus,claude-v3-sonnet,mistral-large,claude-v3-sonnet,gpt-4-turbo,original,18.352425609296454,7.962116331373459,-26.700118388099884,4.2887339380104095,164338092.42222992,165.0111143980743,False,False,True
00d42,gpt-3.5-turbo,llama-3-8b,mistral-large,gpt-4-o,original,claude-v3-opus,19.043864573757702,8.761385341946243,-24.850870838945465,4.252414454240352,162910958.94964108,162.6026999248599,False,False,True
95b06,gpt-4-o,mistral-large,mistral-large,gpt-4-o,original,claude-v3-sonnet,7.852134535805448,3.8692558156921337,-12.657445116822602,4.840286816610023,171646092.81171095,146.72228250824432,False,False,True
516ff,claude-v3-opus,llama-3-8b,original,gpt-4-o,original,claude-v3-opus,17.055386552022608,6.74060420012097,-25.648771037869817,4.356864013709128,166519161.40729475,163.641865496905,False,False,True
2a5c7,original,mistral-large,gpt-4-turbo,claude-v3-sonnet,original,claude-v3-opus,10.932413040723684,3.75307657888098,-15.314923489600373,4.678487827954814,171853536.45769218,150.18331690473647,False,False,True
c8eb8,original,llama-3-8b,gpt-4-turbo,original,gpt-4-turbo,claude-v3-opus,9.22996631515823,2.4360523297722914,-14.549418256778157,4.7679129101336,174205146.9483419,149.18634173886784,False,False,True
25734,gpt-4-o,llama-3-8b,llama-3-8b,gpt-4-o,gpt-4-turbo,claude-v3-sonnet,20.16126617506148,5.198263324884359,-30.855006678357743,4.193720265151933,169273085.6306482,170.42233859973499,False,False,True
c89d8,original,llama-3-8b,original,original,original,claude-v3-sonnet,10.3511452882792,3.836878789519128,-12.999888782881046,4.709020305564627,171703903.5577591,147.16827270678365,False,False,True
8b852,llama-3-70b,mistral-large,gpt-4-turbo,claude-v3-sonnet,original,claude-v3-opus,16.90423614560292,5.722585408422899,-24.20161769384834,4.364803549973294,168336883.19324964,161.75712861552012,False,False,True
55198,original,original,mistral-large,gpt-4-o,original,claude-v3-opus,-1.4116087611249037,-1.7416975990928156,-3.528454010852511,5.326887068571523,181664721.49048048,134.83290927883684,True,True,True
3b548,mistral-large,llama-3-8b,gpt-4-turbo,claude-v3-sonnet,gpt-4-turbo,claude-v3-opus,21.138395080051357,8.265009016766752,-30.8316761492515,4.142394234612584,163797262.88397807,170.3919534931045,False,False,True
d2985,llama-3-70b,original,gpt-4-turbo,claude-v3-sonnet,original,claude-v3-opus,17.013068242280898,7.3924266466068485,-25.928002723678688,4.359086884045974,165355300.90568703,164.00552996886262,False,False,True
c1048,original,mistral-large,gpt-4-turbo,original,original,claude-v3-haiku,-1.8678869614662073,0.8808946737992642,-4.549977863842037,5.350854171300307,176981956.15354478,136.16331679155664,True,False,True
450a4,original,claude-v3-sonnet,original,original,gpt-4-turbo,claude-v3-sonnet,-3.0239510706601553,-0.3721850920268428,-3.7457506860566765,5.411579200997949,179219390.6768133,135.11591111803483,True,True,True
774ca,gpt-4-o,mistral-large,gpt-3.5-turbo,claude-v3-sonnet,original,claude-v3-haiku,17.82524560786262,7.187397184298984,-26.2712758456264,4.316425327258185,165721390.92626315,164.4526004303281,False,False,True
2d1a4,original,llama-3-8b,gpt-4-turbo,claude-v3-sonnet,original,claude-v3-opus,22.778142817235317,9.257522124452333,-33.00468324439921,4.056262566614896,162025082.7303322,173.22202442695237,False,False,True
14493,claude-v3-opus,llama-3-8b,mistral-large,original,gpt-4-turbo,claude-v3-sonnet,20.185900652693498,8.54688663972076,-29.57247284686635,4.192426280351356,163293956.75604105,168.75199811797341,False,False,True
