id,structure_5fba4,structure_06fb2,structure_975e2,structure_52fce,structure_14320,structure_c80df,structure_6fedc,structure_bbdd3,structure_4bd55,structure_d00ba,structure_ea5c4,structure_74928,structure_9176d,structure_24ac5,structure_bcaba,structure_bfcaa,structure_dc0fa,structure_1a80e,structure_70b08,structure_793be,structure_5a2ea,runtime_perc_diff,memory_perc_diff,cpu_perc_diff,runtime,memory,cpu,runtime_has_improved,memory_has_improved,cpu_has_improved
41abd,gpt-4-o,gpt-4-o_2,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o_1,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,0.18836918629134525,0.804555005681331,-0.00021145910353745793,24.76045210286975,8076069.190326101,99.91745255064042,False,False,True
fa905,original,gpt-4-o_2,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o_1,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,0.9215635630950114,1.1024231117844017,0.019933306524218167,24.578567245354254,8051818.042154755,99.89732445656556,False,False,False
1a83a,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,original,0.5244782341046577,-0.26776679930913977,3.401176295767092e-05,24.677072922388714,8163373.048803619,99.9172072829225,False,True,False
71d8b,original,gpt-4-o,original,original,original,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,0.5029812220405961,0.9385715468016127,0.008085724591650816,24.682405725121498,8065158.136307466,99.90916223358937,False,False,False
cd026,original,original,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o,original,original,1.0150937010840613,0.36651935699950766,-0.0066177993087282744,24.555365054557722,8111732.1807667045,99.9238535890396,False,False,True
f5cb4,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o_1,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,0.8090175390734753,0.14864753043656884,-0.0022093566421432557,24.60648674145341,8129470.3737456845,99.91944879474433,False,False,True
b17f1,gpt-4-o,gpt-4-o,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o_1,gpt-4-o,original,original,original,gpt-4-o,original,0.3897234730931597,0.503869044341507,0.0001954034603231306,24.710501780112583,8100549.756227884,99.91704602479086,False,False,False
be0d6,original,original,gpt-4-o,gpt-4-o,original,gpt-4-o,original,gpt-4-o,gpt-4-o,original,original,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,gpt-4-o,original,original,original,0.6479287806051601,0.9740247475259183,-0.0024956872857607466,24.64644832164049,8062271.688224246,99.91973488842433,False,False,True
f0afc,original,original,original,original,original,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,gpt-4-o,gpt-4-o,gpt-4-o,original,0.5629782407198737,-1.4736016407821204,0.015289803346601249,24.667522155990202,8261546.968104041,99.90196411683876,False,True,False
22cbe,gpt-4-o,gpt-4-o_2,gpt-4-o,original,original,gpt-4-o,original,original,gpt-4-o,gpt-4-o,original,original,gpt-4-o,original,gpt-4-o_1,original,original,original,original,original,original,0.21400414817328012,-0.2835472160749452,0.0010149309461157656,24.754092791428167,8164657.8228944065,99.91622717553564,False,True,False
